quant,state_length,max_new,prompt,tokens,seconds,tps,cycles,accepted,avg_accept_per_cycle,per_call_ms
none,512,100,capital,100,12.121,8.250,56,99,1.768,14.333
none,512,100,fibonacci,100,2.700,37.039,14,99,7.071,12.928
none,512,100,math,100,6.343,15.767,28,99,3.536,15.184
none,512,100,story,100,11.128,8.987,52,99,1.904,14.095
none,512,300,capital,300,34.022,8.818,157,299,1.904,14.324
none,512,300,fibonacci,300,29.157,10.289,105,299,2.848,14.715
none,512,300,math,300,36.323,8.259,104,299,2.875,14.938
none,512,300,story,300,42.223,7.105,180,299,1.661,14.123
none,512,1000,capital,1000,119.862,8.343,789,999,1.266,13.925
none,512,1000,fibonacci,1000,86.174,11.604,661,999,1.511,13.752
none,1024,100,capital,100,6.889,14.516,56,99,1.768,17.511
none,1024,100,fibonacci,100,1.677,59.628,14,99,7.071,17.209
none,1024,100,math,100,3.782,26.443,28,99,3.536,18.760
none,1024,100,story,100,7.046,14.193,52,99,1.904,18.576
none,1024,300,capital,300,21.091,14.224,142,301,2.120,18.683
none,1024,300,fibonacci,300,12.936,23.192,81,302,3.728,19.619
none,1024,300,math,300,17.319,17.322,91,300,3.297,18.588
none,1024,300,story,300,31.525,9.516,162,300,1.852,18.298
none,1024,1000,capital,1000,85.771,11.659,705,999,1.417,15.959
none,1024,1000,fibonacci,1000,81.047,12.339,533,999,1.874,18.000
none,2048,100,capital,100,9.557,10.463,56,99,1.768,27.157
none,2048,100,fibonacci,100,2.340,42.737,14,99,7.071,27.178
none,2048,100,math,100,3.374,29.637,28,99,3.536,24.161
none,2048,100,story,100,7.480,13.369,52,99,1.904,25.070
none,2048,300,capital,300,30.367,9.879,142,301,2.120,27.726
none,2048,300,fibonacci,300,17.491,17.152,81,302,3.728,27.670
none,2048,300,math,300,19.428,15.441,91,300,3.297,27.513
none,2048,300,story,300,27.719,10.823,162,300,1.852,25.917
none,2048,1000,capital,1000,63.397,15.774,322,1006,3.124,25.754
none,2048,1000,fibonacci,1000,35.692,28.017,290,1001,3.452,23.776
none,4096,100,capital,100,7.597,13.163,56,99,1.768,38.860
none,4096,100,fibonacci,100,2.320,43.096,14,99,7.071,40.392
none,4096,100,math,100,5.218,19.163,28,99,3.536,40.171
none,4096,100,story,100,9.566,10.454,52,99,1.904,41.665
